,index,skills
119,119,Оптимизация кода
120,120,PostgreSQL
121,121,MS SQL
122,122,Автоматизация систем отчетности
123,123,C/C++
124,124,Golang
125,125,SQL
126,126,JavaScript
127,127,VueJS
128,128,gRPC
129,129,Protobuf
130,130,Swagger
131,131,PHP
132,132,MySQL
133,133,Laravel
134,134,MVC
135,135,Yii
136,136,VueJS
137,137,JavaScript
138,138,REST API
139,139,TypeScript
140,140,C#
141,141,Microsoft Visual Studio
142,142,.NET Framework
143,143,ASP.NET
144,144,.NET Core
145,145,Entity Framework
146,146,ASP.NET MVC
147,147,MS Visual Studio
148,148,ASP.NET Core
149,149,Оптимизация кода
150,150,Рефакторинг кода
151,151,MVC
152,152,C/C++
153,153,Linux
154,154,MS SQL
155,155,MS Visual Studio
156,156,Многопоточное программирование
157,157,STL
158,158,Git
159,159,Аккредитованная IT - компания
160,160,кроссплатформенная разработка
161,161,Golang
162,162,gRPC
163,163,REST API
164,164,JSON-RPC
165,165,Apache Kafka
166,166,Docker
167,167,CMS Wordpress
168,168,MySQL
169,169,PHP
170,170,SEO
171,171,phpMyAdmin
172,172,Wordpress
173,173,jQuery
174,174,HTML5
175,175,CSS3
176,176,VueJS
177,177,Yii
178,178,PHP
179,179,Node.js
180,180,1С программирование
181,181,1С программирование
182,182,Обновление конфигурации 1С
183,183,ERP-системы на базе 1С
184,184,1C: ERP
185,185,Автоматизация процессов
186,186,Конфигурационное тестирование
187,187,1С программирование
188,188,ERP-системы на базе 1С
189,189,1С программирование
190,190,Автоматизация процессов
191,191,Техническая поддержка пользователей
192,192,Обновление конфигурации 1С
193,193,знание 1С
194,194,Управляемые формы
195,195,СКД
196,196,удаленная работа
197,197,1С программирование
198,198,Математическое программирование
199,199,Коммуникабельность
200,200,PHP
201,201,1С-Битрикс
202,202,Docker
203,203,CMS Wordpress
204,204,JavaScript
205,205,SQL
206,206,Linux
207,207,SQL Server Profiler
208,208,Oracle Pl/SQL
209,209,C++
210,210,Python
211,211,Crystal
212,212,Qt
213,213,Agile
214,214,STLC
215,215,1С программирование
216,216,ЭДО
217,217,Автоматизация документооборота
218,218,BPMN
219,219,ООП
220,220,CSS
221,221,low-code
222,222,HTML
223,223,СУБД
224,224,TypeScript
225,225,Python
226,226,PostgreSQL
227,227,FastAPI
228,228,Redis
229,229,Apache Kafka
230,230,SQLAlchemy
231,231,Django
232,232,MySQL
233,233,RabbitMQ
234,234,Laravel
235,235,PHP
236,236,Python
237,237,MVC
238,238,Чтение чужого кода
239,239,OpenCV
240,240,C++
241,241,CUDA
242,242,Big Data
243,243,Computer Vision
244,244,PyTorch
245,245,Machine Learning
246,246,Математическая статистика
247,247,Математический анализ
248,248,Математическое программирование
249,249,MATLAB
250,250,Mathcad
251,251,Python
252,252,C#
253,253,Visual Studio C#
254,254,ASP.NET
255,255,ASP.NET Core
256,256,ASP.NET MVC
257,257,Simulink
258,258,Entity Framework
259,259,.NET Core
260,260,PHP
261,261,Git
262,262,ООП
263,263,JavaScript
264,264,PostgreSQL
265,265,Yii
266,266,Laravel
267,267,RabbitMQ
268,268,MS SQL
269,269,Android
270,270,Kotlin
271,271,Java
272,272,Flutter
273,273,SQL
274,274,PostgreSQL
275,275,C#
276,276,Metatrader4/5
277,277,cTrader
278,278,Биржевые шлюзы
279,279,FastAPI
280,280,YouTrack
281,281,Allure
282,282,.NET Core
283,283,Gitlab
284,284,API
285,285,Проектирование высоконагруженных систем
286,286,Асинхронное программирование
287,287,Оптимизация кода
288,288,Архитектурные паттерны
289,289,Английский — B2 — Средне-продвинутый
290,290,ASP.NET
291,291,.NET Core
292,292,RabbitMQ
293,293,Redis
294,294,Аналитическое мышление
295,295,Системное мышление
296,296,Работа с большим объемом информации
297,297,Техническая документация
298,298,Сбор и анализ информации
299,299,Работа с базами данных
300,300,Нормативно-техническая документация
301,301,Инфографика
302,302,Аналитическое мышление
303,303,Логическое мышление
304,304,Системное мышление
305,305,Внимательность
306,306,ЕСТД
307,307,ЕСКД
308,308,Технология машиностроения
309,309,Siemens NX
310,310,Готовность к командировкам
311,311,Java
312,312,Английский язык
313,313,Python
314,314,Разработка ПО
315,315,Веб-программирование
316,316,Node.js
317,317,.NET Core
318,318,PowerShell
319,319,1С программирование
320,320,Laravel
321,321,MySQL
322,322,PostgreSQL
323,323,Docker
324,324,SOLID
325,325,ООП
326,326,TDD
327,327,SaaS
328,328,VueJS
329,329,PHP
330,330,Java
331,331,Python
332,332,C#
333,333,Go
334,334,TypeScript
335,335,Linux
336,336,NX
337,337,ЧПУ
338,338,SQL
339,339,1С программирование
340,340,1С программирование
341,341,Обновление конфигурации 1С
342,342,Написание инструкций
343,343,1С программирование
344,344,1С: Бухгалтерия
345,345,1С: Управление Торговлей
346,346,MS SQL Server
347,347,Постановка задач разработчикам
348,348,Техническая поддержка пользователей
349,349,Основы бухгалтерского учета
350,350,Обновление конфигурации 1С
351,351,интеграция с web приложениями
352,352,Интеграция программных модулей
353,353,Golang
354,354,TDORP
355,355,1С программирование
356,356,1С: Комплексная автоматизация
357,357,регламентированный учет
358,358,1С управление холдингом
359,359,налоговый мониторинг
360,360,JavaScript
361,361,Английский язык
362,362,TypeScript
363,363,SQL
364,364,React.js
365,365,HTML5
366,366,NodeJS
367,367,Web
368,368,ORM
369,369,CI/CD
370,370,ООП
371,371,next JS
372,372,1С программирование
373,373,Желание учиться и развиваться
374,374,Системность
375,375,Решение проблем
376,376,PHP
377,377,PostgreSQL
378,378,ООП
379,379,RabbitMQ
380,380,Gitlab
381,381,Docker
382,382,Elasticsearch
383,383,Memcached
384,384,Symfony
385,385,Node.js
386,386,JavaScript
387,387,TypeScript
388,388,React
389,389,Bootstrap
390,390,SQL
391,391,jQuery
392,392,PostgreSQL
393,393,Java
394,394,Криптография
395,395,Spring Boot
396,396,Внедренец
397,397,Программист 1С
398,398,Консультант 1С
399,399,Python
400,400,Grafana
401,401,Ansible
402,402,Linux
403,403,Git
404,404,C#
405,405,Разработка нового продукта
406,406,.NET Framework
407,407,ASP.NET
408,408,Unity
409,409,WPF
410,410,.NET Core
411,411,1C: ERP
412,412,Оптимизация кода
413,413,RabbitMQ
414,414,SonarQube
415,415,Vanessa-ADD
416,416,Jenkins
417,417,Docker
418,418,Станки ЧПУ
419,419,1С программирование
420,420,1С: Документооборот
421,421,ERP-системы на базе 1С
422,422,1С: Зарплата и управление персоналом
423,423,1С: Предприятие 8
424,424,1С: Бухгалтерия
425,425,1С программирование
426,426,1C: Бухгалтерия
427,427,Python
428,428,Django Framework
429,429,JavaScript
430,430,HTML5
431,431,Less
432,432,CSS
433,433,PHP
434,434,Python
435,435,Redis
436,436,ООП
437,437,PostgreSQL
438,438,Unit Testing
439,439,SQL
440,440,Git
441,441,C++
442,442,STL
443,443,1С-Битрикс
444,444,1С программирование
445,445,1С: Бухгалтерия
446,446,1С: Управление Торговлей
447,447,1С: Предприятие 8
448,448,ERP-системы на базе 1С
449,449,MySQL
450,450,NoSQL
451,451,SQL
452,452,Apache Kafka
453,453,RabbitMQ
454,454,Linux
455,455,Git
456,456,GitHub
457,457,Asterisk
458,458,VoIP
459,459,Английский — B2 — Средне-продвинутый
460,460,IT
461,461,Разработка склада
462,462,Python
463,463,1С: Зарплата и управление персоналом
464,464,1С:ЗУП
465,465,SQL
466,466,1С программирование
467,467,1C: Предприятие
468,468,SOAP
469,469,API
470,470,REST
471,471,VueJS
472,472,Laravel
473,473,Git
474,474,Figma
475,475,SPA
476,476,Работа в условиях многозадачности
477,477,Отличное знание ПК
478,478,Умение работать в коллективе
479,479,1С: ERP
480,480,1С: УХ
481,481,Чтение чертежей
482,482,Станки ЧПУ
483,483,ЧПУ
484,484,Siemens
485,485,Okuma
486,486,CMake
487,487,C++
488,488,Python
489,489,Bash
490,490,Kafka
491,491,Golang
492,492,PostgreSQL
493,493,Scrum
494,494,gRPC
495,495,1С: Предприятие
496,496,Обновление конфигурации 1С
497,497,Разработка ПО
498,498,Оптимизация бизнес-процессов
499,499,Создание конфигурации 1С
500,500,1С БП 3.0
501,501,1С ДО КОРП
502,502,1С:ЗУП 3.1
503,503,Программист 1С
504,504,1С
505,505,PHP
506,506,Git
507,507,PostgreSQL
508,508,Laravel
509,509,API
510,510,1С программирование
511,511,1C: Предприятие
512,512,Быстро учусь
513,513,Желание учиться
514,514,Стремление
515,515,ПК пользователь: MS Office (программы)
516,516,PHP
517,517,PHP5
518,518,HTML
519,519,MySQL
520,520,Веб-программирование
521,521,PHP
522,522,Битрикс24
523,523,jQuery
524,524,HTML
525,525,MySQL
526,526,CSS
527,527,JavaScript
528,528,ASP.NET Core
529,529,.NET Core
530,530,C#
531,531,SQL
532,532,Entity Framework
533,533,1С программирование
534,534,ERP-системы на базе 1С
535,535,Разработка технических заданий
536,536,Обновление конфигурации 1С
537,537,1C: ERP
538,538,Java
539,539,Python
540,540,ООП
541,541,C#
542,542,1С программирование
543,543,Разработка технических заданий
544,544,Автоматизация бизнес-процессов
545,545,Деловое общение
546,546,Git
547,547,Atlassian Confluence
548,548,Atlassian Jira
549,549,Angular
550,550,JavaScript
551,551,Node.js
552,552,React
553,553,Git
554,554,PostgreSQL
555,555,Python
556,556,Удаленная работа
557,557,Java Script
558,558,Android
559,559,Gradle
560,560,Git
561,561,HTML5
562,562,JavaScript
563,563,TypeScript
564,564,Git
565,565,REST API
566,566,1С программирование
567,567,HTML
568,568,CSS
569,569,Angular
570,570,REST API
571,571,JavaScript
572,572,React Native
573,573,Flutter
574,574,Dart
575,575,JavaScript
576,576,TypeScript
577,577,Firebase
578,578,SQLite
579,579,Redux
580,580,PHP
581,581,Laravel
582,582,Yii2
583,583,Ajax
584,584,ООП
585,585,Git
586,586,Microsoft .NET
587,587,C#
588,588,.NET 6
589,589,Entity Framework
590,590,SQL
591,591,NoSQL
592,592,REST API
593,593,HTTP
594,594,Fiddler/Charles
595,595,CI/CD
596,596,Разработка многопоточных приложений
597,597,Английский — B1 — Средний
598,598,Kotlin
599,599,Git
600,600,Android SDK
601,601,Android
602,602,C#
603,603,SQL
604,604,Entity Framework
605,605,web API
606,606,Angular
607,607,SignaIR
608,608,PostgreSQL
609,609,PWA
610,610,1С программирование
611,611,Обновление конфигурации 1С
612,612,.NET Core
613,613,SOLID
614,614,Entity Framework
615,615,ASP.NET MVC
616,616,C#
617,617,1С программирование
618,618,1C: Предприятие
619,619,1С: Бухгалтерия
620,620,1С: Зарплата и управление персоналом
621,621,SQL
622,622,SoapUI
623,623,Postman
624,624,React
625,625,Oracle Siebel CRM
626,626,CSS
627,627,Golang
628,628,Python
629,629,Git
630,630,Kafka
631,631,Redis
632,632,Prometheus
633,633,Graphana
634,634,CI/CD
635,635,Django Framework
636,636,Django Rest Framework
637,637,REST API
638,638,Laravel
639,639,Framework
640,640,PHP
641,641,SQL
642,642,SOLID
643,643,DRY
644,644,KISS
645,645,Git
646,646,1С программирование
647,647,1С: Документооборот
648,648,JavaScript
649,649,Git
650,650,jQuery
651,651,Vue.js
652,652,Ajax
653,653,HTML
654,654,CSS
655,655,JavaScript
656,656,React
657,657,Directum
658,658,JavaScript
659,659,Git
660,660,HTML
661,661,CSS
662,662,jQuery
663,663,Bootstrap
664,664,UI
665,665,UX
666,666,React
667,667,Angular
668,668,VueJS
669,669,1С-Битрикс
670,670,PostgreSQL
671,671,RabbitMQ
672,672,REST API
673,673,Linux
674,674,Redis
675,675,Обновление конфигурации 1С
676,676,Создание конфигурации 1С
677,677,1С программирование
678,678,1С программирование
679,679,1С: Предприятие 8
680,680,1С БГУ
681,681,Основы бухгалтерского учета
682,682,1С: Бухгалтерия
683,683,Java
684,684,Spring Boot
685,685,Kotlin
686,686,SQL
687,687,PostgreSQL
688,688,ORACLE
689,689,RabbitMQ
690,690,SQL
691,691,Quarkus
692,692,Java
693,693,Создание конфигурации 1С
694,694,JSON
695,695,1С программирование
696,696,1С: Управление Торговлей
697,697,Обновление конфигурации 1С
698,698,PHP
699,699,PostgreSQL
700,700,JavaScript
701,701,SQL
702,702,MVC
703,703,Yii
704,704,REST
705,705,1С программирование
706,706,ERP-системы на базе 1С
707,707,1С: Предприятие
708,708,1С: Бухгалтерия
709,709,1С: Зарплата и управление персоналом
710,710,1С: Управление холдингом
711,711,1С:Бухгалтерия предприятия
712,712,Python
713,713,Django Framework
714,714,Рефакторинг кода
715,715,Flask
716,716,CI/CD
717,717,API
718,718,AI
719,719,FastAPI
720,720,RAG
721,721,PEP8
722,722,GitHub
723,723,PyTorch
724,724,TensorFlow
725,725,ML
726,726,Английский — B2 — Средне-продвинутый
727,727,Языки программирования МЭК
728,728,Пуско-наладочные работы
729,729,Производство пусконаладочных работ
730,730,Supcon
731,731,SCADA
732,732,АСУ ТП
733,733,АСУ
734,734,JavaScript
735,735,VueJS
736,736,TypeScript
737,737,GSS
738,738,HTML
739,739,Рефакторинг кода
740,740,Оптимизация кода
741,741,Микросервисная архитектура
742,742,PostgreSQL
743,743,MS SQL
744,744,SQL
745,745,1C: ERP
746,746,1С программирование
747,747,C++
748,748,Python
749,749,САПР
750,750,TCP/IP
751,751,HTML
752,752,XML
753,753,JSON
754,754,SQL
755,755,Oracle Pl/SQL
756,756,СУБД
757,757,Crystal Reports 11
758,758,VueJS
759,759,HTML
760,760,JavaScript
761,761,CSS
762,762,Vite
763,763,SPA
764,764,Postman
765,765,Docker
766,766,Swagger
767,767,Чтение чужого кода
768,768,1С программирование
769,769,Базы данных
770,770,ERP-системы на базе 1С
771,771,1С: Предприятие
772,772,1С: Документооборот
773,773,MySQL
774,774,1С:ERP
775,775,1С: Управление Производственным Предприятием
776,776,Docker
777,777,PostgreSQL
778,778,Redis
779,779,PHPUnit
780,780,PHP
781,781,REST API
782,782,Python
783,783,CODESYS
784,784,АСУ ТП
785,785,Modbus
786,786,PLK
787,787,OPC DA/ HDA/ UA
788,788,Profbus
789,789,Foundation
790,790,Yokogawa Centum VP Yokogawa ProSafe
791,791,React Native
792,792,JavaScript
793,793,TypeScript
794,794,React
795,795,1С программирование
796,796,1С: Предприятие 8
797,797,1С: Документооборот
798,798,1С: Управление Производственным Предприятием
799,799,Разработка технических заданий
800,800,ERP-системы на базе 1С
801,801,Бухгалтерский учет
802,802,1 С ЗУП
803,803,"Знание языков запроса СКД, КД, БСП, ХDТО"
804,804,1С: Бухгалтерия и склад
805,805,1С: Зарплата и управление персоналом
806,806,1C: ERP
807,807,Обновление конфигурации 1С
808,808,Постановка задач разработчикам
809,809,JSON
810,810,XML
811,811,COW
812,812,Электронный документооборот
813,813,Управленческая отчетность
814,814,Контроль исполнения решений
815,815,Навыки переговоров
816,816,1С-Битрикс
817,817,Битрикс24
818,818,Bitrix
819,819,jQuery
820,820,REST
821,821,Bitrix24
822,822,PHP
823,823,Kafka
824,824,JavaScript
825,825,Git
826,826,Redis
827,827,SQL
828,828,PostgreSQL
829,829,MS SQL
830,830,ORACLE
831,831,OLTP
832,832,JavaScript
833,833,React
834,834,TypeScript
835,835,Redux
836,836,Webpack
837,837,Git
838,838,CI/CD
839,839,C++
840,840,Git
841,841,Python
842,842,SQL
843,843,STL
844,844,Boost
845,845,PostgreSQL
846,846,.net
847,847,Docker
848,848,PostgreSQL
849,849,.net
850,850,Docker
851,851,Бизнес-анализ
852,852,MS Excel
853,853,Функциональное тестирование
854,854,Разработка технических заданий
855,855,QA
856,856,1С
857,857,1С программирование
858,858,Информационные технологии
859,859,Техническая поддержка
860,860,SQL
861,861,Разработка ПО
862,862,Менеджмент
863,863,User Story
864,864,Постановка задач разработчикам
865,865,Обучение и развитие
866,866,Аналитическое мышление
867,867,Моделирование бизнес-процессов
868,868,Анализ требований
869,869,Деловое общение
870,870,Аналитический склад ума
871,871,Веб-аналитика
872,872,Google Docs
873,873,MS Office
874,874,Станки ЧПУ
875,875,Чтение чертежей
876,876,CMS Wordpress
877,877,HTML
878,878,HTML5
879,879,JavaScript
880,880,PHP
881,881,MySQL
882,882,Веб-программирование
883,883,React
884,884,SEO
885,885,jQuery
886,886,Joomla CMS
887,887,TypeScript
888,888,Лендинг
889,889,OpenCart
890,890,Верстка
891,891,JS/TS
892,892,Vue.js
893,893,Nuxt.js
894,894,Git
895,895,SOAP
896,896,PHP
897,897,Swagger
898,898,Camunda
899,899,Рефакторинг кода
900,900,WCF
901,901,WSDL
902,902,API
903,903,PHP
904,904,API
905,905,Docker
906,906,PostgreSQL
907,907,MySQL
908,908,Redis
909,909,Kafka
910,910,Laravel
911,911,PHP
912,912,Laravel
913,913,SQL
914,914,C#
915,915,ASP.NET
916,916,SQL
917,917,Docker
918,918,Golang
919,919,SQL
920,920,ООП
921,921,MySQL
922,922,PostgreSQL
923,923,Git
924,924,HTML
925,925,CSS
926,926,JavaScript
927,927,Ведение переговоров
928,928,Клиентоориентированность
929,929,Работа с клиентами
930,930,Холодные продажи
931,931,Ориентация на результат
932,932,Телефонные переговоры
933,933,Английский — B2 — Средне-продвинутый
934,934,Активные продажи
935,935,Поиск и привлечение клиентов
936,936,Проведение презентаций
937,937,Подготовка коммерческих предложений
938,938,Java
939,939,Kotlin
940,940,SQL
941,941,Git
942,942,Apache Kafka
943,943,PostgreSQL
944,944,SQL
945,945,BPMN
946,946,MS SQL
947,947,XML
948,948,PostgreSQL
949,949,CRM
950,950,Lowcode
951,951,Camunda
952,952,Работа с базами данных
953,953,Бизнес-анализ
954,954,Системный анализ
955,955,C#
956,956,.NET Core
957,957,.NET Framework
958,958,Английский — A1 — Начальный
959,959,C#
960,960,ASP.NET
961,961,Git
962,962,Entity Framework
963,963,SQL
964,964,MS SQL Server
965,965,.NET Core
966,966,Английский язык
967,967,Коммуникабельность
968,968,Обучение и развитие
969,969,Составление технологических карт
970,970,Расчет рецептуры
971,971,Деловая переписка
972,972,MS Office
973,973,C++
974,974,Git
975,975,Python
976,976,SQL
977,977,STL
978,978,Boost
979,979,C#
980,980,JavaScript
981,981,.NET Framework
982,982,Английский язык
983,983,MS SQL
984,984,SOLID
985,985,ООП
986,986,Creatio
987,987,BPMSoft
988,988,CRM
989,989,Английский — B1 — Средний
990,990,HTML
991,991,XML
992,992,JSON
993,993,SQL
994,994,Oracle Pl/SQL
995,995,СУБД
996,996,Crystal Reports 11
997,997,Python
998,998,Redis
999,999,ООП
1000,1000,PostgreSQL
1001,1001,Unit Testing
1002,1002,SQL
1003,1003,Git
1004,1004,VR/AR
1005,1005,UV развертка
1006,1006,Unity3D
1007,1007,Substance Painter
1008,1008,Blender
1009,1009,Java
1010,1010,JUnit
1011,1011,Mockito
1012,1012,Lombok
1013,1013,Git
1014,1014,XML
1015,1015,JSON
1016,1016,JavaScript
1017,1017,React
1018,1018,TypeScript
1019,1019,HTML
1020,1020,CSS
1021,1021,.NET Core
1022,1022,ASP.NET Core
1023,1023,C#
1024,1024,ASP.NET
1025,1025,Java
1026,1026,Spring Framework
1027,1027,Apache Kafka
1028,1028,NoSQL
1029,1029,Apache Cassandra
1030,1030,MongoDB
1031,1031,.NET Core
1032,1032,PostgreSQL
1033,1033,Git
1034,1034,C#
1035,1035,ERP-системы на базе 1С
1036,1036,1С: Предприятие 8
1037,1037,1C ERP
1038,1038,1С: Зарплата и управление персоналом
1039,1039,1С: Бухгалтерия
1040,1040,1С: Комплексная автоматизация
1041,1041,1С: Управление Торговлей
1042,1042,ООП
1043,1043,Английский язык
1044,1044,Git
1045,1045,SSH
1046,1046,Golang
1047,1047,Go
1048,1048,EVM
1049,1049,DFS
1050,1050,Бинарный Поиск
1051,1051,Хеши
1052,1052,Highload
1053,1053,Docker
1054,1054,Encryption
1055,1055,Digital Signatures
1056,1056,ООП
1057,1057,Английский язык
1058,1058,Git
1059,1059,SSH
1060,1060,EVM
1061,1061,DFS
1062,1062,Бинарный Поиск
1063,1063,Хеши
1064,1064,Highload
1065,1065,Docker
1066,1066,Encryption
1067,1067,Digital Signatures
1068,1068,Python3
1069,1069,Python
1070,1070,django
1071,1071,web3
1072,1072,1С программирование
1073,1073,Обновление конфигурации 1С
1074,1074,1C: ERP
1075,1075,Администрирование
1076,1076,Базы данных
1077,1077,MS SQL Server
1078,1078,PostgreSQL
1079,1079,XML
1080,1080,HTML
1081,1081,MS SQL
1082,1082,СУБД
1083,1083,ERP-системы на базе 1С
1084,1084,Обучение и развитие
1085,1085,C#
1086,1086,ASP.NET
1087,1087,PostgreSQL
1088,1088,.NET Core
1089,1089,MongoDB
1090,1090,RabbitMQ
1091,1091,Apache Kafka
1092,1092,Kubernetes
1093,1093,MS SQL
1094,1094,C#
1095,1095,.NET Framework
1096,1096,SQL
1097,1097,.NET Core
1098,1098,PostgreSQL
1099,1099,C++
1100,1100,MATLAB
1101,1101,Simulink
1102,1102,RTOS
1103,1103,Altium Designer
1104,1104,C
1105,1105,C++
1106,1106,MATLAB
1107,1107,Simulink
1108,1108,RTOS
1109,1109,Altium Designer
1110,1110,C
1111,1111,Computer Vision
1112,1112,OpenCV
1113,1113,C++
1114,1114,Линейная алгебра
1115,1115,CUDA
1116,1116,Разработка нового продукта
1117,1117,C/C++
1118,1118,Математическое моделирование
1119,1119,Машинное обучение
1120,1120,Алгоритмы и структуры данных
1121,1121,CMake
1122,1122,Линейное программирование
1123,1123,Математическое программирование
1124,1124,Mathematical Programming
1125,1125,Работа в команде
1126,1126,видеоаналитика
1127,1127,XML
1128,1128,XDTO
1129,1129,JSON
1130,1130,HTTP
1131,1131,API
1132,1132,1С
1133,1133,Git
1134,1134,Vanessa Automation
1135,1135,МСФО
1136,1136,1С: Документооборот
1137,1137,1С: Бухгалтерия
1138,1138,1С программирование
1139,1139,ERP-системы на базе 1С
1140,1140,SQL
1141,1141,REST
1142,1142,SOAP
1143,1143,Android
1144,1144,Java
1145,1145,RxJava
1146,1146,MVVM
1147,1147,MVP
1148,1148,Kotlin
1149,1149,Scrum
1150,1150,Agile
1151,1151,1С программирование
1152,1152,1С: Комплексная автоматизация
1153,1153,1С: Зарплата и управление персоналом
1154,1154,1С: Торговля и склад
1155,1155,1С: Управление Торговлей
1156,1156,1С: Бухгалтерия
1157,1157,1С: Предприятие 8
1158,1158,ERP-системы на базе 1С
1159,1159,1С: Предприятие
1160,1160,SQL
1161,1161,MS SQL
1162,1162,Контроль качества
1163,1163,Расчет себестоимости
1164,1164,Контроль упаковки
1165,1165,Наставничество
1166,1166,Управление производственным персоналом
1167,1167,Производственный контроль
1168,1168,Составление технологических карт
1169,1169,Управление требованиями
1170,1170,Организация производственной линии
1171,1171,Контроль выполнения задач
1172,1172,Контроль сотрудников
1173,1173,Проведение инструктажей
1174,1174,Контроль маркировки
1175,1175,Технологии пищевой промышленности
1176,1176,Python
1177,1177,PostgreSQL
1178,1178,SQL
1179,1179,ООП
1180,1180,Git
1181,1181,Unit Testing
1182,1182,Redis
1183,1183,1С программирование
1184,1184,Оптимизация кода
1185,1185,1С: Предприятие 8
1186,1186,Автоматизация
1187,1187,1С программирование
1188,1188,Оптимизация кода
1189,1189,1С: Предприятие 8
1190,1190,Автоматизация
1191,1191,1С программирование
1192,1192,Оптимизация кода
1193,1193,1С: Предприятие 8
1194,1194,Автоматизация
1195,1195,1С программирование
1196,1196,Конфигурационное тестирование
1197,1197,Автоматизация процессов
1198,1198,Обновление конфигурации 1С
1199,1199,1С программирование
1200,1200,Оптимизация кода
1201,1201,1С: Предприятие 8
1202,1202,Автоматизация
1203,1203,1С программирование
1204,1204,Оптимизация кода
1205,1205,1С: Предприятие 8
1206,1206,Автоматизация
1207,1207,1С программирование
1208,1208,Оптимизация кода
1209,1209,1С: Предприятие 8
1210,1210,Автоматизация
1211,1211,Наполнение контентом
1212,1212,Adobe Photoshop
1213,1213,HTML
1214,1214,Администрирование сайтов
1215,1215,1С-Битрикс
1216,1216,Joomla CMS
1217,1217,CMS Wordpress
1218,1218,Пользователь ПК
1219,1219,CSS3
1220,1220,HTML5
1221,1221,PHP
1222,1222,Веб-программирование
1223,1223,HTML
1224,1224,CSS
1225,1225,Design Patterns
1226,1226,SOLID
1227,1227,PostgreSQL
1228,1228,Agile Project Management
1229,1229,JavaScript
1230,1230,Scrum
1231,1231,React
1232,1232,Java
1233,1233,Kotlin
1234,1234,Camunda
1235,1235,Kubernetes
1236,1236,Apache Kafka
1237,1237,Agile
1238,1238,React
1239,1239,Redux
1240,1240,JavaScript
1241,1241,Git
1242,1242,Unit Testing
1243,1243,Деловая коммуникация
1244,1244,Управление коммуникациями
1245,1245,Наставничество
1246,1246,Организаторские навыки
1247,1247,1С: Управление Торговлей
1248,1248,1С: ERP
1249,1249,1С программирование
1250,1250,1C: ERP
1251,1251,C#
1252,1252,.NET Framework
1253,1253,ASP.NET
1254,1254,PostgreSQL
1255,1255,MS SQL
1256,1256,Java
1257,1257,Hibernate ORM
1258,1258,Java EE
1259,1259,ORACLE
1260,1260,MySQL
1261,1261,PostgreSQL
1262,1262,Git
1263,1263,Spring Framework
1264,1264,Unit Testing
1265,1265,Java Servlets
1266,1266,ООП
1267,1267,SVN
1268,1268,JSP
1269,1269,Разработка ПО
1270,1270,Linux
1271,1271,API
1272,1272,SQL
1273,1273,C#
1274,1274,C++
1275,1275,Python
1276,1276,Kotlin
1277,1277,Apache Kafka
1278,1278,Kubernetes
1279,1279,Scala
1280,1280,Ruby
1281,1281,Внимательность
1282,1282,Ответственность
1283,1283,Базы данных
1284,1284,MS Excel
1285,1285,Agile
1286,1286,GO
1287,1287,Golang
1288,1288,PostgreSQL
